candidate_id,llm_score,llm_sd,n_reps,small_bundle
C0567,-0.5,0.10606601717798216,5,False
C0580,0.62,0.05700877125495688,5,False
C0586,0.4,0.06123724356957947,5,True
C0587,-0.4,0.1414213562373095,5,False
C0590,0.21000000000000002,0.1981161275615895,5,False
C0591,-0.71,0.022360679774997935,5,False
C0592,0.664,0.110589330407594,5,False
C0597,0.01,0.0223606797749979,5,True
C0610,-0.47000000000000003,0.04472135954999577,5,False
C0613,0.43600000000000005,0.04979959839195491,5,False
C0614,-0.75,0.035355339059327424,5,False
C0621,0.15,0.18371173070873836,5,False
C0622,0.746,0.12973048986263788,5,False
C0631,0.604,0.10876580344942983,5,False
C0634,-0.674,0.04878524367060188,5,False
C0639,-0.27999999999999997,0.12549900398011132,5,False
C0641,0.5900000000000001,0.0418330013267038,5,False
C0654,-0.22599999999999998,0.033615472627943226,5,True
C0657,0.51,0.06519202405202651,5,False
C0661,0.736,0.049799598391954976,5,False
C0662,-0.75,0.09354143466934854,5,False
C0684,0.47000000000000003,0.16807736313971613,5,False
C0692,-0.256,0.06268971207462991,5,True
C0695,0.55,0.14999999999999994,5,False
C0710,-0.6140000000000001,0.11502173707608489,5,False
C0711,0.7,0.09354143466934856,5,False
C0727,0.45,0.12747548783981963,5,False
C0736,0.78,0.04472135954999581,5,False
C0739,0.4,0.10000000000000003,5,False
C0742,-0.54,0.07416198487095663,5,False
C0747,-0.18,0.11510864433221338,5,False
C0758,0.58,0.12629330940315087,5,False
C0765,0.71,0.06519202405202648,5,False
C0776,0.67,0.02738612787525829,5,False
C0781,-0.5439999999999999,0.1114899098573499,5,False
C0788,0.51,0.108397416943394,5,False
C0798,0.266,0.07436396977031282,5,True
C0803,-0.614,0.10830512453249848,5,False
C0811,-0.634,0.1324009063413087,5,False
C0814,0.41,0.1781852968120546,5,False
C0817,-0.538,0.17541379649275024,5,False
C0832,0.624,0.15043270920913443,5,False
C0834,0.8300000000000001,0.02738612787525826,5,False
C0836,0.64,0.13874436925511607,5,False
C0853,-0.64,0.07416198487095658,5,False
C0867,-0.75,0.03535533905932741,5,True
C0870,0.54,0.15165750888103102,5,False
C0872,0.48200000000000004,0.08318653737234168,5,False
C0875,0.56,0.08944271909999159,5,True
C0876,-0.5700000000000001,0.08366600265340748,5,False
C0881,0.54,0.0821583836257749,5,False
C0882,-0.55,0.035355339059327404,5,False
C0885,0.22000000000000003,0.13509256086106294,5,False
C0893,-0.5820000000000001,0.06648308055437864,5,False
C0908,0.73,0.0908295106229247,5,False
