candidate_id,candidate_name,handle,party,chamber,state,district,incumbent,n_tweets,share_retweets
C0038,Renata Solberg,@RSolberg2022,D,House,AR,AR-03,False,117,0.3504273504273504
C0039,Quincy Villanueva,@VillanuevaHQ,R,House,AR,AR-03,True,55,0.36363636363636365
C0040,Delphine Holloway,@DelphineHolloway2022,D,House,AR,AR-04,False,163,0.2331288343558282
C0041,Simone Stanfield,@StanfieldHQ,R,House,AR,AR-04,True,69,0.014492753623188406
C0042,Tamika Villanueva,@TVillanueva,D,House,CA,CA-01,True,46,0.30434782608695654
C0043,Henrietta Solberg,@HSolberg,R,House,CA,CA-01,False,161,0.4472049689440994
C0044,Henrietta Sandoval,@HenriettaSandoval2022,D,House,CA,CA-02,False,122,0.040983606557377046
C0045,Osric Abernathy,@OAbernathyOfficial,R,House,CA,CA-02,True,52,0.07692307692307693
C0046,Quentin Prescott,@QuentinPrescott2022,R,House,CA,CA-03,False,284,0.2605633802816901
C0047,Lucille Renwick,@LucilleRenwick2022,D,House,CA,CA-04,True,118,0.3305084745762712
C0048,Harlan Falkner,@FalknerHQ,R,House,CA,CA-04,False,77,0.05194805194805195
C0049,Maeve Lockhart,@MaeveLockhart2022,D,House,CA,CA-05,True,59,0.11864406779661017
C0050,Opal Ivester,@IvesterHQ,R,House,CA,CA-05,False,254,0.2559055118110236
C0051,Quincy Renwick,@RenwickHQ,D,House,CA,CA-06,False,103,0.32038834951456313
C0052,Osric Kowalczyk,@OKowalczykOfficial,D,House,CA,CA-07,False,50,0.12
C0053,Tallulah Zielinski,@TallulahZielinski2022,R,House,CA,CA-07,False,34,0.23529411764705882
C0054,Ignatius Abernathy,@IAbernathy2022,D,House,CA,CA-08,False,164,0.21341463414634146
C0055,Flora Palafox,@PalafoxHQ,R,House,CA,CA-08,True,155,0.5096774193548387
C0056,Deshawn Calloway,@Calloway4Congress,D,House,CA,CA-09,False,95,0.43157894736842106
C0057,Cormac Ibarra,@IbarraForCongress,R,House,CA,CA-09,True,112,0.21428571428571427
C0058,Tobias Ivester,@TIvesterOfficial,I,House,CA,CA-09,False,75,0.30666666666666664
C0059,Russell Lockhart,@RussellLockhart2022,R,House,CA,CA-10,True,130,0.5846153846153846
C0060,Rosalind Winterbourne,@WinterbourneHQ,D,House,CA,CA-11,False,84,0.20238095238095238
C0061,Priya Meriwether,@PMeriwether,D,House,CA,CA-12,False,146,0.07534246575342465
C0062,Renata Calloway,@CallowayHQ,R,House,CA,CA-12,True,246,0.532520325203252
C0063,Tobias Underhill,@TUnderhill2022,D,House,CA,CA-13,False,138,0.12318840579710146
C0064,Yolanda Solberg,@YSolberg2022,R,House,CA,CA-13,True,181,0.2596685082872928
C0065,Tallulah Sandoval,@SandovalHQ,D,House,CA,CA-14,True,99,0.5151515151515151
C0066,Pete Ibarra,@PeteIbarra2022,R,House,CA,CA-14,False,87,0.25287356321839083
C0067,Maeve Barrows,@MaeveBarrows2022,D,House,CA,CA-15,True,63,0.19047619047619047
C0068,Bettina Jessup,@BettinaJessup2022,R,House,CA,CA-15,False,125,0.096
C0069,Rosalind Sandoval,@RosalindSandoval2022,D,House,CA,CA-16,False,119,0.17647058823529413
C0070,York Sandoval,@YorkSandoval2022,R,House,CA,CA-16,True,84,0.11904761904761904
C0071,Lavinia Bickford,@LaviniaBickford2022,D,House,CA,CA-17,False,79,0.4050632911392405
C0072,Pete Meriwether,@MeriwetherHQ,R,House,CA,CA-17,True,208,0.15865384615384615
C0073,Ulysses Abernathy,@UlyssesAbernathy2022,D,House,CA,CA-18,True,104,0.17307692307692307
C0074,Vera Thackeray,@ThackerayHQ,R,House,CA,CA-18,False,92,0.2717391304347826
C0075,Gustavo Bramble,@Bramble4Congress,D,House,CA,CA-19,False,109,0.12844036697247707
C0076,Flora Bramble,@BrambleForCongress,R,House,CA,CA-19,True,66,0.15151515151515152
C0077,Deshawn Kowalczyk,@DeshawnKowalczyk2022,D,House,CA,CA-20,True,97,0.10309278350515463
C0078,Silas Barrows,@SBarrowsOfficial,R,House,CA,CA-20,False,107,0.07476635514018691
C0079,Junia Jankowski,@JankowskiForCongress,D,House,CA,CA-21,False,76,0.5131578947368421
C0080,Quentin Eastwood,@QuentinEastwood2022,R,House,CA,CA-21,False,54,0.3888888888888889
C0081,Grant Delacroix,@GrantDelacroix2022,D,House,CA,CA-22,False,86,0.13953488372093023
C0082,Cassidy Rutledge,@RutledgeHQ,R,House,CA,CA-22,True,34,0.4117647058823529
C0083,Quincy Goodwin,@QGoodwin,D,House,CA,CA-23,True,62,0.43548387096774194
C0084,Jocelyn Crowder,@JCrowder2022,R,House,CA,CA-23,False,100,0.3
C0085,Tallulah Underhill,@TUnderhillOfficial,D,House,CA,CA-24,False,41,0.12195121951219512
C0086,Boyd Alcott,@AlcottForCongress,R,House,CA,CA-24,True,75,0.21333333333333335
C0087,Colton Alcott,@AlcottHQ,D,House,CA,CA-25,False,86,0.23255813953488372
C0088,Hattie Underhill,@Underhill4Congress,R,House,CA,CA-25,False,43,0.0
C0089,Lorenzo Quintanilla,@Quintanilla4Congress,D,House,CA,CA-26,False,79,0.05063291139240506
C0090,Marcus Nakamura,@MarcusNakamura2022,R,House,CA,CA-26,False,157,0.10191082802547771
C0091,Noemi Yarborough,@YarboroughHQ,D,House,CA,CA-27,True,98,0.19387755102040816
C0092,Marisol Stanfield,@MStanfield,R,House,CA,CA-27,False,242,0.2892561983471074
C0093,Lorenzo Nakamura,@NakamuraForCongress,D,House,CA,CA-28,False,112,0.375
C0094,Tallulah Palafox,@TallulahPalafox2022,R,House,CA,CA-28,True,55,0.12727272727272726
C0095,Tamika Vandermeer,@VandermeerForCongress,D,House,CA,CA-29,True,61,0.39344262295081966
C0096,Paloma Wexford,@PWexford,R,House,CA,CA-29,False,209,0.33014354066985646
C0097,Renata Marchetti,@MarchettiHQ,D,House,CA,CA-30,True,123,0.14634146341463414
C0098,Noemi Vasquez-Reed,@NVasquezReed2022,R,House,CA,CA-30,False,67,0.43283582089552236
C0099,Russell Xiong,@RussellXiong2022,D,House,CA,CA-31,True,51,0.23529411764705882
C0100,Celeste Crowder,@CCrowderOfficial,R,House,CA,CA-31,False,120,0.19166666666666668
C0101,Maeve Tunstall,@TunstallHQ,D,House,CA,CA-32,True,18,0.0
C0102,Anders Okafor,@OkaforHQ,D,House,CA,CA-33,True,124,0.5161290322580645
C0103,Nadia Quintanilla,@QuintanillaHQ,R,House,CA,CA-33,False,99,0.4444444444444444
C0104,Grant Vandermeer,@GVandermeer2022,D,House,CA,CA-34,False,96,0.34375
C0105,Farrah Stanfield,@StanfieldForCongress,D,House,CA,CA-35,False,88,0.19318181818181818
C0106,Kendall Zablocki,@KZablockiOfficial,R,House,CA,CA-35,True,101,0.37623762376237624
C0107,Omar Pemberton,@PembertonForCongress,D,House,CA,CA-36,True,66,0.2878787878787879
C0108,Colton Lockhart,@LockhartForCongress,D,House,CA,CA-37,False,77,0.12987012987012986
C0109,Harlan Rutledge,@HRutledge,R,House,CA,CA-37,True,115,0.4434782608695652
C0110,Maeve Sandoval,@MaeveSandoval2022,D,House,CA,CA-38,False,70,0.2857142857142857
C0111,Tobias Rutledge,@RutledgeForCongress,D,House,CA,CA-39,False,68,0.3088235294117647
C0112,Ingrid Lockhart,@ILockhart2022,R,House,CA,CA-39,True,150,0.16
C0113,Kip Holloway,@KHollowayOfficial,D,House,CA,CA-40,False,44,0.1590909090909091
C0114,Dexter Fairbanks,@FairbanksForCongress,R,House,CA,CA-40,False,93,0.3870967741935484
C0115,Zelda Marchetti,@ZMarchetti,D,House,CA,CA-41,True,131,0.3511450381679389
C0116,Walker Palafox,@PalafoxForCongress,R,House,CA,CA-41,False,84,0.09523809523809523
C0117,York Delacroix,@DelacroixForCongress,D,House,CA,CA-42,True,219,0.5342465753424658
C0118,Kendall Barrows,@KBarrows,R,House,CA,CA-42,False,108,0.5092592592592593
C0119,Kip Thackeray,@Thackeray4Congress,D,House,CA,CA-43,False,61,0.4098360655737705
C0120,Russell Yarborough,@RussellYarborough2022,R,House,CA,CA-43,True,175,0.28
C0121,Walker Quimby,@QuimbyHQ,D,House,CA,CA-44,True,38,0.3684210526315789
C0122,Sterling Okafor,@SterlingOkafor2022,R,House,CA,CA-44,False,78,0.3717948717948718
C0123,Opal Granger,@GrangerHQ,D,House,CA,CA-45,False,101,0.039603960396039604
C0124,Cormac Lindqvist,@LindqvistHQ,R,House,CA,CA-45,False,78,0.2564102564102564
C0125,Marcus Whitlock,@MarcusWhitlock2022,D,House,CA,CA-46,False,53,0.09433962264150944
C0126,Quentin Stanfield,@QStanfield,R,House,CA,CA-46,False,234,0.2606837606837607
C0127,Nolan Umbridge,@UmbridgeForCongress,D,House,CA,CA-47,False,80,0.1875
C0128,Vera Bramble,@VBramble,R,House,CA,CA-47,True,77,0.06493506493506493
C0129,Cormac Quintanilla,@CormacQuintanilla2022,R,House,CA,CA-48,False,46,0.41304347826086957
C0130,Petra Bramble,@PetraBramble2022,R,House,CA,CA-49,True,115,0.5826086956521739
C0131,Opal Okafor,@OOkafor,D,House,CA,CA-50,True,83,0.13253012048192772
C0132,Flora Xiong,@XiongHQ,R,House,CA,CA-50,False,71,0.2676056338028169
C0133,Tallulah Granger,@TGranger2022,D,House,CA,CA-51,False,100,0.18
C0134,Cassidy Renwick,@CRenwick,R,House,CA,CA-51,True,91,0.3076923076923077
C0135,Ivan Kowalczyk,@IvanKowalczyk2022,D,House,CA,CA-52,False,52,0.19230769230769232
C0136,Lucille Rutledge,@LRutledge,R,House,CA,CA-52,True,101,0.3465346534653465
C0137,Opal Barrows,@OpalBarrows2022,R,House,CO,CO-01,False,67,0.16417910447761194
C0138,Noemi Lockhart,@NLockhart,I,House,CO,CO-01,False,40,0.15
C0139,Ivan Delacroix,@DelacroixHQ,D,House,CO,CO-02,False,98,0.2857142857142857
C0140,Colton Crowder,@Crowder4Congress,R,House,CO,CO-02,True,166,0.25301204819277107
C0141,Nadia Solberg,@SolbergForCongress,D,House,CO,CO-03,False,124,0.29838709677419356
C0142,Paloma Lockhart,@PalomaLockhart2022,R,House,CO,CO-03,True,105,0.6
C0143,Grant Umbridge,@GUmbridgeOfficial,D,House,CO,CO-04,False,102,0.30392156862745096
C0144,Celeste Yancey,@CelesteYancey2022,R,House,CO,CO-04,True,51,0.49019607843137253
C0145,Ignatius Oglesby,@OglesbyHQ,D,House,CO,CO-05,False,128,0.03125
C0146,Quentin Zielinski,@ZielinskiForCongress,R,House,CO,CO-05,False,76,0.13157894736842105
C0147,Russell Stanfield,@RStanfield2022,D,House,CO,CO-06,False,51,0.37254901960784315
C0148,Ingrid Meriwether,@IngridMeriwether2022,R,House,CO,CO-06,False,84,0.16666666666666666
C0149,Jordan Bickford,@JBickford2022,I,House,CO,CO-06,False,71,0.07042253521126761
C0150,Yolanda Thackeray,@ThackerayForCongress,D,House,CO,CO-07,True,59,0.11864406779661017
C0151,Lorenzo Renwick,@Renwick4Congress,R,House,CO,CO-07,False,109,0.05504587155963303
C0152,Flora Pemberton,@FloraPemberton2022,D,House,CO,CO-08,False,138,0.37681159420289856
C0153,Lorenzo Umbridge,@Umbridge4Congress,R,House,CO,CO-08,True,144,0.125
C0154,Marisol Barrows,@MBarrows2022,D,House,CT,CT-01,True,131,0.48091603053435117
C0155,Cormac Ivester,@CIvesterOfficial,R,House,CT,CT-01,False,75,0.21333333333333335
C0156,Lavinia Lockhart,@LaviniaLockhart2022,D,House,CT,CT-02,True,137,0.24087591240875914
C0157,Bettina Yarborough,@BYarborough2022,R,House,CT,CT-02,False,162,0.16049382716049382
C0158,Gideon Granger,@GrangerForCongress,D,House,CT,CT-03,False,86,0.16279069767441862
C0159,Ximena Jessup,@Jessup4Congress,R,House,CT,CT-03,True,139,0.19424460431654678
C0160,Gideon Jessup,@JessupHQ,D,House,CT,CT-04,True,79,0.46835443037974683
C0161,Uriel Quimby,@UQuimby,R,House,CT,CT-04,False,87,0.13793103448275862
C0162,Mordecai Fairbanks,@MFairbanksOfficial,D,House,CT,CT-05,False,124,0.3629032258064516
C0163,Nadia Tremblay,@NadiaTremblay2022,R,House,CT,CT-05,True,101,0.5841584158415841
C0164,Colton Rutledge,@Rutledge4Congress,D,House,DE,DE-AL,False,91,0.15384615384615385
C0165,Priya Jessup,@PJessup2022,R,House,DE,DE-AL,True,60,0.16666666666666666
C0166,Ramona Calloway,@RCallowayOfficial,D,House,FL,FL-01,False,83,0.14457831325301204
C0167,Avery Goodwin,@AveryGoodwin2022,R,House,FL,FL-01,False,21,0.23809523809523808
C0168,Omar Fairbanks,@FairbanksHQ,D,House,FL,FL-02,True,162,0.25925925925925924
C0169,Nadia Falkner,@NFalkner,R,House,FL,FL-02,False,96,0.2708333333333333
C0170,Junia Delacroix,@JDelacroix,D,House,FL,FL-03,True,68,0.14705882352941177
C0171,Yolanda Vandermeer,@YolandaVandermeer2022,R,House,FL,FL-03,False,91,0.1978021978021978
C0172,Henrietta Granger,@HGrangerOfficial,D,House,FL,FL-04,True,203,0.1625615763546798
C0173,Lucille Ellingson,@LucilleEllingson2022,R,House,FL,FL-04,False,173,0.11560693641618497
C0174,Nadia Dunmore,@NDunmoreOfficial,D,House,FL,FL-05,False,69,0.4057971014492754
C0175,Bettina Winterbourne,@WinterbourneForCongress,R,House,FL,FL-05,True,192,0.203125
C0176,Kip Palafox,@KPalafoxOfficial,D,House,FL,FL-06,True,109,0.1834862385321101
C0177,Flora Ellingson,@EllingsonHQ,R,House,FL,FL-06,False,71,0.04225352112676056
C0178,Kendall Alcott,@KendallAlcott2022,R,House,FL,FL-07,False,272,0.4264705882352941
C0179,York Barrows,@YorkBarrows2022,D,House,FL,FL-08,False,70,0.02857142857142857
C0180,Renata Abernathy,@AbernathyHQ,R,House,FL,FL-08,True,79,0.4936708860759494
C0181,Osric Renwick,@OsricRenwick2022,D,House,FL,FL-09,True,70,0.1
C0182,Ulysses Kowalczyk,@UlyssesKowalczyk2022,R,House,FL,FL-09,False,140,0.16428571428571428
C0183,Priya Ivester,@PriyaIvester2022,D,House,FL,FL-10,True,33,0.15151515151515152
C0184,Kendall Dunmore,@KDunmore2022,D,House,FL,FL-11,False,202,0.32673267326732675
C0185,Renata Granger,@Granger4Congress,R,House,FL,FL-11,True,182,0.21428571428571427
C0186,Hattie Ibarra,@HIbarra2022,D,House,FL,FL-12,False,125,0.312
C0187,Ezra Ibarra,@EzraIbarra2022,R,House,FL,FL-12,True,205,0.2048780487804878
C0188,Russell Calloway,@RCalloway2022,D,House,FL,FL-13,True,146,0.3424657534246575
C0189,Ignatius Underhill,@IgnatiusUnderhill2022,R,House,FL,FL-13,False,113,0.504424778761062
C0190,Colton Palafox,@ColtonPalafox2022,D,House,FL,FL-14,True,74,0.1891891891891892
C0191,Kendall Hargrove,@KHargrove,R,House,FL,FL-14,False,115,0.2956521739130435
C0192,Lucille Solberg,@LucilleSolberg2022,D,House,FL,FL-15,True,110,0.33636363636363636
C0193,Harlan Zablocki,@HZablocki,R,House,FL,FL-15,False,146,0.0547945205479452
C0194,Emmett Ibarra,@EIbarraOfficial,D,House,FL,FL-16,True,103,0.2912621359223301
C0195,Noemi Nakamura,@Nakamura4Congress,R,House,FL,FL-16,False,78,0.10256410256410256
C0196,Zelda Jessup,@JessupForCongress,D,House,FL,FL-17,True,174,0.6609195402298851
C0197,Gideon Whitlock,@WhitlockHQ,R,House,FL,FL-17,False,542,0.5461254612546126
C0198,Thea Renwick,@TheaRenwick2022,D,House,FL,FL-18,True,127,0.3858267716535433
C0199,Russell Crowder,@RCrowder,R,House,FL,FL-18,False,46,0.41304347826086957
C0200,Harlan Sandoval,@Sandoval4Congress,D,House,FL,FL-19,True,171,0.14619883040935672
C0201,Noemi Yancey,@YanceyForCongress,R,House,FL,FL-19,False,80,0.475
C0202,Wendell Kowalczyk,@KowalczykForCongress,D,House,FL,FL-20,True,118,0.05084745762711865
C0203,Russell Quintanilla,@RussellQuintanilla2022,R,House,FL,FL-20,False,115,0.23478260869565218
C0204,Lucille Xiong,@LXiongOfficial,D,House,FL,FL-21,True,64,0.15625
C0205,Gideon Barrows,@BarrowsForCongress,R,House,FL,FL-21,False,35,0.2
C0206,Harlan Meriwether,@HarlanMeriwether2022,I,House,FL,FL-21,False,43,0.37209302325581395
C0207,York Oglesby,@Oglesby4Congress,D,House,FL,FL-22,True,136,0.2647058823529412
C0208,Noemi Underhill,@UnderhillHQ,R,House,FL,FL-22,False,150,0.2866666666666667
C0209,Gustavo Abernathy,@GAbernathy,D,House,FL,FL-23,False,41,0.4146341463414634
C0210,Nolan Granger,@NolanGranger2022,R,House,FL,FL-23,True,147,0.42857142857142855
C0211,Jocelyn Marchetti,@MarchettiForCongress,D,House,FL,FL-24,False,137,0.25547445255474455
C0212,Priya Yarborough,@PriyaYarborough2022,R,House,FL,FL-24,True,84,0.047619047619047616
C0213,Vera Underhill,@VUnderhill,D,House,FL,FL-25,False,76,0.17105263157894737
C0214,Marisol Nakamura,@MarisolNakamura2022,R,House,FL,FL-25,True,210,0.18571428571428572
C0215,Flora Sandoval,@FSandoval,D,House,FL,FL-26,True,90,0.3333333333333333
C0216,Ignatius Bramble,@BrambleHQ,R,House,FL,FL-26,False,113,0.4336283185840708
C0217,Lucille Tremblay,@LucilleTremblay2022,D,House,FL,FL-27,False,102,0.1568627450980392
C0218,Elena Prescott,@Prescott4Congress,R,House,FL,FL-27,True,150,0.05333333333333334
C0219,Omar Nakamura,@OmarNakamura2022,D,House,FL,FL-28,True,46,0.13043478260869565
C0220,Lavinia Winterbourne,@LaviniaWinterbourne2022,R,House,FL,FL-28,False,108,0.35185185185185186
C0221,Flora Villanueva,@FloraVillanueva2022,D,House,GA,GA-01,True,40,0.275
C0222,Uriel Thackeray,@UrielThackeray2022,R,House,GA,GA-01,False,159,0.39622641509433965
C0223,Sterling Zablocki,@SZablocki,D,House,GA,GA-02,True,83,0.5060240963855421
C0224,Rosalind Palafox,@RPalafox,R,House,GA,GA-02,False,191,0.18324607329842932
C0225,Nadia Ravenscroft,@RavenscroftForCongress,D,House,GA,GA-03,True,38,0.5
C0226,Priya Vasquez-Reed,@PriyaVasquezReed2022,R,House,GA,GA-03,False,86,0.45348837209302323
C0227,Colton Whitlock,@WhitlockForCongress,D,House,GA,GA-04,False,99,0.5151515151515151
C0228,Uriel Hargrove,@UrielHargrove2022,R,House,GA,GA-04,False,262,0.3969465648854962
C0229,Marcus Kettering,@Kettering4Congress,D,House,GA,GA-05,True,85,0.38823529411764707
C0230,Tobias Okafor,@Okafor4Congress,R,House,GA,GA-05,False,106,0.3490566037735849
C0231,Paloma Abernathy,@Abernathy4Congress,D,House,GA,GA-06,True,72,0.027777777777777776
C0232,Celeste Granger,@CGranger,R,House,GA,GA-06,False,71,0.19718309859154928
C0233,Nolan Ellingson,@EllingsonForCongress,D,House,GA,GA-07,False,146,0.4931506849315068
C0234,Petra Zablocki,@ZablockiForCongress,R,House,GA,GA-07,False,197,0.14213197969543148
C0235,Vera Northcutt,@VeraNorthcutt2022,D,House,GA,GA-08,False,72,0.2638888888888889
C0236,Ivan Tunstall,@ITunstall2022,R,House,GA,GA-08,False,74,0.4594594594594595
C0237,Marisol Hargrove,@HargroveHQ,D,House,GA,GA-09,False,126,0.12698412698412698
C0238,Ezra Kowalczyk,@EKowalczykOfficial,R,House,GA,GA-09,False,193,0.42487046632124353
C0239,Uriel Northcutt,@UNorthcutt,D,House,GA,GA-10,True,74,0.08108108108108109
C0240,Gustavo Wexford,@WexfordHQ,R,House,GA,GA-10,False,135,0.2814814814814815
C0241,Marisol Lindqvist,@MarisolLindqvist2022,R,House,GA,GA-11,True,80,0.675
C0242,Quincy Kowalczyk,@QuincyKowalczyk2022,D,House,GA,GA-12,True,249,0.18072289156626506
C0243,Yolanda Goodwin,@YGoodwin,R,House,GA,GA-12,False,125,0.136
C0244,Tallulah Northcutt,@TallulahNorthcutt2022,D,House,GA,GA-13,False,142,0.19718309859154928
C0245,Emmett Lockhart,@EmmettLockhart2022,R,House,GA,GA-13,True,211,0.24644549763033174
C0246,Cormac Meriwether,@CormacMeriwether2022,D,House,GA,GA-14,True,76,0.14473684210526316
C0247,Maeve Dunmore,@DunmoreHQ,R,House,GA,GA-14,False,460,0.3456521739130435
C0248,Wendell Yancey,@WYancey2022,D,House,HI,HI-01,False,117,0.2564102564102564
C0249,York Eastwood,@YorkEastwood2022,R,House,HI,HI-01,True,41,0.14634146341463414
C0250,Quincy Nakamura,@QuincyNakamura2022,D,House,HI,HI-02,True,48,0.5833333333333334
C0251,Yolanda Oglesby,@YolandaOglesby2022,R,House,HI,HI-02,False,110,0.1
C0252,Wendell Alcott,@WendellAlcott2022,D,House,ID,ID-01,False,105,0.13333333333333333
C0253,Osric Meriwether,@OsricMeriwether2022,R,House,ID,ID-01,True,56,0.25
C0254,Priya Whitlock,@PriyaWhitlock2022,D,House,ID,ID-02,False,160,0.075
C0255,Nolan Prescott,@PrescottHQ,R,House,ID,ID-02,False,76,0.4342105263157895
C0256,Colton Ostrander,@OstranderForCongress,D,House,IL,IL-01,True,38,0.15789473684210525
C0257,Uriel Fairbanks,@UFairbanksOfficial,R,House,IL,IL-01,False,72,0.75
C0258,Flora Oglesby,@FOglesby2022,R,House,IL,IL-02,False,32,0.46875
C0259,Emmett Zablocki,@EmmettZablocki2022,D,House,IL,IL-03,False,94,0.13829787234042554
C0260,Hattie Whitlock,@HattieWhitlock2022,R,House,IL,IL-03,True,83,0.6024096385542169
C0261,Opal Underhill,@OpalUnderhill2022,D,House,IL,IL-04,True,77,0.37662337662337664
C0262,Vera Solberg,@VeraSolberg2022,R,House,IL,IL-04,False,174,0.3505747126436782
C0263,Opal Nakamura,@OpalNakamura2022,D,House,IL,IL-05,False,130,0.49230769230769234
C0264,Uriel Oglesby,@UrielOglesby2022,R,House,IL,IL-05,True,99,0.40404040404040403
C0265,Hattie Jessup,@HattieJessup2022,D,House,IL,IL-06,False,215,0.6465116279069767
C0266,York Goodwin,@YorkGoodwin2022,R,House,IL,IL-06,True,100,0.19
C0267,Marisol Quintanilla,@MQuintanillaOfficial,D,House,IL,IL-07,False,46,0.21739130434782608
C0268,Paloma Eastwood,@PalomaEastwood2022,R,House,IL,IL-07,True,85,0.4117647058823529
C0269,Jordan Falkner,@JFalkner,I,House,IL,IL-07,False,153,0.21568627450980393
C0270,Cassidy Nakamura,@CassidyNakamura2022,D,House,IL,IL-08,True,54,0.46296296296296297
C0271,Tallulah Pemberton,@TallulahPemberton2022,R,House,IL,IL-08,False,256,0.34375
C0272,Junia Vasquez-Reed,@JVasquezReedOfficial,D,House,IL,IL-09,True,113,0.19469026548672566
C0273,Ramona Yarborough,@RYarboroughOfficial,R,House,IL,IL-09,False,66,0.3787878787878788
C0274,Deshawn Granger,@DeshawnGranger2022,D,House,IL,IL-10,False,96,0.15625
C0275,Kip Ashford,@KAshford2022,R,House,IL,IL-10,True,97,0.5154639175257731
C0276,Emmett Oglesby,@OglesbyForCongress,D,House,IL,IL-11,False,25,0.04
C0277,Bettina Okafor,@BettinaOkafor2022,R,House,IL,IL-11,True,128,0.109375
C0278,York Marchetti,@YMarchettiOfficial,R,House,IL,IL-12,True,36,0.25
C0279,Kip Granger,@KipGranger2022,D,House,IL,IL-13,True,184,0.125
C0280,Celeste Bickford,@CelesteBickford2022,R,House,IL,IL-13,False,63,0.06349206349206349
C0281,Deshawn Crowder,@DCrowder,D,House,IL,IL-14,True,100,0.31
C0282,Emmett Pemberton,@PembertonHQ,R,House,IL,IL-14,False,29,0.3103448275862069
C0283,Cassidy Granger,@CassidyGranger2022,D,House,IL,IL-15,False,44,0.3181818181818182
C0284,Farrah Solberg,@FarrahSolberg2022,R,House,IL,IL-15,False,244,0.36885245901639346
C0285,Vivienne Villanueva,@VVillanueva,D,House,IL,IL-16,True,56,0.05357142857142857
C0286,Kendall Whitlock,@KendallWhitlock2022,R,House,IL,IL-16,False,118,0.16101694915254236
